name,type,capacity,form_factor,Interface,price,url
A-DATA Ultimate SU650,SSD,120GB,"2.5""",SATA,2141,https://amazon.in/dp/B07HCCWWWF?tag=aypc-21
WD Green 120,SSD,120GB,"2.5""",SATA 6Gb/s,2347,https://amazon.in/dp/B076XWDN6V?tag=aypc-21
