name,ram,size,noise_level,price,url
Cooler Master Hyper T20,2000,95x80x117,30 dBA,1078,https://amazon.in/dp/B07NGRQX1V?tag=aypc-21
Cooler Master Hyper H410R,2000,102x83.4x136,29.4 dBA,1890,https://amazon.in/dp/B0784FZT8H?tag=aypc-21
