name,type,lxwxh,price,url
Ant Esports ICE-200TG,ATX Mid-Tower,427x185x460,3021,https://amazon.in/dp/B07TJCNK2G?tag=aypc-21
Corsair Carbide Series,ATX Mid-Tower,447x200x428,3499,https://amazon.in/dp/B00I6BJATW?tag=aypc-21
