name,style,switch,backlit,connection_type,price,url
Logitech K120,Standard,Membrane,No,NA,565,https://amazon.in/dp/B006FEPRO4?tag=aypc-21
AmazonBasics,Standard,Chiclet,No,Wired,699,https://amazon.in/dp/B005EOWBHC?tag=aypc-21
