name,socket,form_factor,ram_slots,max_ram,price,url
MSI A320M-A PRO MAX,AM4,Micro-ATX,2,64 GB,4490,https://amazon.in/dp/B07W838R4F?tag=aypc-21
MSI A320M Pro-VD/S,AM4,Micro-ATX,2,32 GB,4799,https://amazon.in/dp/B072633KTS?tag=aypc-21
