name,modules,speed,latency,price,url
Crucial UDIMM 4GB,1 x 4GB,DDR4-2666,17,1905,https://amazon.in/dp/B07GMRJTS9?tag=aypc-21
HyperX Fury 4GB,1 x 4GB,DDR4-2400,15,2100,https://amazon.in/dp/B013H7U6FQ?tag=aypc-21
