name,enclosure_type,wireless,microphone,battery_life,price,url
Motorola Pulse 3 Max,Over-Ear,Yes,Yes,NA,1211,https://amazon.in/dp/B07CG2Q5V2?tag=aypc-21
Sennheiser HD 206,Over-Ear,No,No,NA,1448,https://amazon.in/dp/B01N7S0IPR?tag=aypc-21
