name,memory,chipset,speed,power,price,url
Zotac GeForce GTX 1050 Ti OC,4GB GDDR5,GTX 1050,1392 MHz,75 W,11400,https://amazon.in/dp/B01M27X994?tag=aypc-21
Gigabyte Radeon RX 570 Gaming 4G,4GB GDDR5,RX 570,1244 MHz,150 W,11700,https://amazon.in/dp/B081BTJTNR?tag=aypc-21
