name,cores,speed,power,price,url
AMD Ryzen 3 3200G,4,3.6 GHz,65 W,8430,https://amazon.in/dp/B07STGHZK8?tag=aypc-21
AMD Ryzen 5 2400G,4,3.6 GHz,65 W,11990,https://amazon.in/dp/B079D8FD28?tag=aypc-21
