name,configuration,wireless,frequency_resp,power,price,url
Zebronics Zeb-S999,2,Yes,100Hz-15kHz,10W,739,https://amazon.in/dp/B07ZRYZWG3?tag=aypc-21
F&D F-203G Multimedia,2.1,Yes,NA,25W,1314,https://amazon.in/dp/B00E2OY62S?tag=aypc-21
