name,type,power,efficiency,price,url
Cooler Master MWE 450,Non Modular,450W,80 Plus,3050,https://amazon.in/dp/B075F7VZG2?tag=aypc-21
Corsair CV450,Non Modular,450W,80 Plus Bronze,3499,https://amazon.in/dp/B07YVVXYFN?tag=aypc-21
