name,tracking_method,max_dpi,connection_type,price,url
Logitech M90,Optical,1000,Wired,289,https://amazon.in/dp/B003D8ZT0C?tag=aypc-21
Lenovo 300,Optical,1600,Wired,299,https://amazon.in/dp/B073BRXPZX?tag=aypc-21
