name,size,res,rt,refresh,panel,x_y,cr,screen,price,url
Dell E2218HN,"21.5""",1920x1080,5ms,60Hz,TN,16:09,1000:01:00,Matte,6850,https://amazon.in/dp/B07436JM87?tag=aypc-21
Dell P2219H,"21.5""",1920x1080,8ms,60Hz,IPS,16:09,1000:01:00,Matte,12959,https://amazon.in/dp/B07F8Z2WFL?tag=aypc-21
