name,rpm,size,noiselevel,Airflow,pwm,price,url
Deepcool XFAN 120,1300,120x120x25,24 dBA,43 CFM,Yes,525,https://amazon.in/dp/B006CSGZQC?tag=aypc-21
Antec Spark 120 RGB,2000,120x120x25,33 dBA,45 CFM,Yes,659,https://amazon.in/dp/B07S889MS2?tag=aypc-21
